title,console,date,year,month,day
SnowRunner,1,2020-04-28,2020,4,28
Songbird Symphony,0,2019-07-25,2019,7,25
Hover,0,2015-04-06,2015,4,6
Shadows: Awakening,1,2018-09-04,2018,9,4
Desperados III,1,2020-06-16,2020,6,16
AI: The Somnium Files,0,2021-09-30,2021,9,30
Honor and Duty: D-Day,0,2019-02-26,2019,2,26
SHINY,0,2016-08-31,2016,8,31
Island Flight Simulator,0,2015-04-17,2015,4,17
Golden Force,1,2021-05-27,2021,5,27
Jak & Daxter The Precursor Legacy,0,2012-02-29,2012,2,29
OF MICE AND SAND -REVISED-,0,2018-04-03,2018,4,3
Baldur's Gate Enhanced Edition,1,2019-10-15,2019,10,15
Bridge Constructor Portal,1,2018-03-01,2018,3,1
Squareboy vs Bullies: Arena Edition,0,2017-12-06,2017,12,6
The Walking Dead: Season Two,1,2013-12-18,2013,12,18
Agony,1,2018-05-29,2018,5,29
Apex Legends - Lifeline Edition,1,2019-12-03,2019,12,3
Duck Game,0,2017-08-22,2017,8,22
Conan Exiles,1,2018-05-08,2018,5,8
Harvest Moon: One World,0,2021-09-28,2021,9,28
Song Of Memories,0,2019-02-01,2019,2,1
F1 2018,1,2018-08-24,2018,8,24
Castaway Paradise,1,2018-07-31,2018,7,31
RollerCoaster Tycoon Joyride,0,2018-12-13,2018,12,13
RIDE 3,1,2018-11-30,2018,11,30
Organ Trail Complete Edition,0,2015-10-20,2015,10,20
NASCAR Heat 3,1,2018-09-07,2018,9,7
"Sakuna: Of Rice and Ruin ""Divine Edition""",0,2020-11-10,2020,11,10
The Angry Birds Movie 2 VR: Under Pressure,0,2019-08-06,2019,8,6
8-Bit Hordes,1,2019-02-01,2019,2,1
Scribblenauts Showdown,1,2018-03-09,2018,3,9
18 Floors,0,2018-07-03,2018,7,3
Strange Brigade,1,2018-08-28,2018,8,28
Spike Volleyball,1,2019-02-05,2019,2,5
Hellblade: Senua's Sacrifice,0,2018-04-10,2018,4,10
Marenian Tavern Story: Patty and the Hungry God,0,2020-08-19,2020,8,19
Marvel's Spider-Man: Miles Morales,0,2020-11-12,2020,11,12
Let Them Come,1,2017-10-03,2017,10,3
Minecraft: Story Mode - Season Two - Episode 5: Above and Beyond,0,2017-12-19,2017,12,19
TOUHOU SKY ARENA MATSURI CLIMAX,0,2016-05-20,2016,5,20
AUDIOBEATS,0,2017-01-05,2017,1,5
The Walking Dead: The Final Season - Suffer The Children,1,2018-09-25,2018,9,25
What Remains of Edith Finch,0,2017-07-19,2017,7,19
Timespinner,0,2019-06-04,2019,6,4
Planescape Torment / Icewind Dale Enhanced Editions,1,2019-10-15,2019,10,15
Monstrum,1,2021-02-12,2021,2,12
Dungeons 3,1,2017-10-12,2017,10,12
Stikbold!,0,2016-04-08,2016,4,8
Days Gone,0,2019-04-26,2019,4,26
Thimbleweed Park,0,2017-08-22,2017,8,22
1979 Revolution: Black Friday,1,2018-08-03,2018,8,3
DRAGON BALL Z: KAKAROT,1,2020-01-17,2020,1,17
Destiny: Le Roi Des Corrompus,1,2017-02-23,2017,2,23
Dragooned,0,2011-07-06,2011,7,6
The Sims™ 4 Deluxe Party Pack,1,2014-09-02,2014,9,2
Defender's Quest: Valley of the Forgotten ,0,2012-01-20,2012,1,20
Always Sometimes Monsters,0,2014-05-20,2014,5,20
Generation Zero,1,2019-03-26,2019,3,26
HITMAN 3,1,2021-01-20,2021,1,20
DEAD OR ALIVE 6,1,2019-03-01,2019,3,1
The House in Fata Morgana,0,2019-06-11,2019,6,11
NBA Live 18,1,2017-09-15,2017,9,15
Real Farm,1,2017-10-20,2017,10,20
Rival Megagun,0,2018-11-29,2018,11,29
Paranormal Activity: The Lost Soul,0,2017-08-15,2017,8,15
Expand,0,2017-10-03,2017,10,3
ACA NEOGEO AGGRESSORS OF DARK KOMBAT,1,2018-09-13,2018,9,13
HomeStarVR for PlayStationVR,0,2018-05-01,2018,5,1
Fallen Legion: Flames of Rebellion,0,2017-12-12,2017,12,12
Dragon Quest XI: Echoes of an Elusive Age ,0,2018-09-04,2018,9,4
